"","s1"
"117",182088.096486447
"118",141719.423707324
"119",138301.126245398
"120",201243.727732965
"121",153266.226372208
"122",129822.962754
"123",318443.785109397
"124",225543.397836196
"125",147449.241288572
"126",84803.1389290716
"127",109335.276899671
"128",136394.150322467
"129",100502.841662032
"130",146475.019021848
"131",87935.315029675
"132",122474.807421996
"133",128963.891286606
"134",122524.875690202
"135",97684.678287566
"136",200882.158565487
"137",158675.824925691
"138",203857.610205168
"139",193328.144984529
"140",188537.842650685
"141",67809.2594657011
"142",107139.195055948
"143",88896.3782865871
"144",244279.294823938
"145",266087.771354346
"146",183576.336914822
"147",184063.633570833
"148",226341.403666526
"149",181135.949831207
"150",152881.297055376
"151",146596.401850506
"152",161944.461342543
"153",169291.403223876
"154",131242.563482255
"155",101017.485944604
"156",86427.9197685368
"157",104226.339489626
"158",123230.173664611
"159",146692.069724816
"160",161100.674752241
"161",135693.850372955
"162",131888.205071268
"163",271984.103517588
"164",204376.011644378
"165",114815.468295375
"166",181007.703132452
"167",186370.093960741
"168",277771.559820379
"169",192330.86415867
"170",324210.382559575
"171",213130.11526245
"172",229348.719862686
"173",187085.437031056
"174",191266.97610832
"175",181116.781643956
"176",163208.239208295
"177",175827.267342845
"178",213951.71194069
"179",193166.975853252
"180",264539.458160475
"181",184734.126402698
"182",221469.052110447
"183",224790.841118352
"184",229518.150036048
"185",200543.648618127
"186",170418.942016503
"187",168734.450440053
"188",129384.638584801
"189",137305.972428342
"190",121219.768487969
"191",124122.806406884
"192",122425.464787763
"193",127795.62416354
"194",162021.914847275
"195",157710.5446736
"196",157092.91908173
"197",164429.701584315
"198",159116.184482424
"199",138154.329883675
"200",149089.934682577
"201",449494.598623775
"202",351532.905580481
"203",339712.600323304
"204",517994.805996276
"205",293612.253894033
"206",307449.620946283
"207",344320.793241002
"208",320945.314810147
"209",287589.484025559
"210",321690.434240823
"211",247449.372188998
"212",418296.426435039
"213",296284.487590158
"214",251295.33982116
"215",183833.590587052
"216",187103.105637712
"217",214566.825378546
"218",441825.831278059
"219",336958.446991922
"220",291991.410517026
"221",241811.437943814
"222",289922.761487004
"223",195350.446239454
"224",196717.739308634
"225",176464.54404923
"226",182981.07834092
"227",184613.791545903
"228",199721.579437497
"229",201792.082540846
"230",209590.249555322
"231",199787.831840762
"232",268520.711156506
"233",178898.969028813
"234",187069.277213078
"235",184158.546320617
"236",273146.062734983
"237",192919.66724536
"238",354377.842412723
"239",309855.687371371
"240",231812.33038464
"241",262183.514482485
"242",251107.230036159
"243",264703.734015659
"244",280971.25972992
"245",229162.974541971
"246",413986.530413228
"247",191122.874883683
"248",197138.64764009
"249",278211.993251385
"250",217957.692804042
"251",269985.699814242
"252",250794.303331194
"253",262829.592749424
"254",212800.307075691
"255",196271.310039611
"256",187499.63109219
"257",186634.474742605
"258",133029.665054877
"259",199272.643807687
"260",236726.537665522
"261",178036.430130631
"262",124366.206262189
"263",158586.951793162
"264",206248.480583937
"265",227485.383965411
"266",172637.226430109
"267",155958.419619031
"268",187911.411758443
"269",167556.203804599
"270",176880.483788549
"271",123203.48785506
"272",126657.165827091
"273",107653.762827758
"274",116058.125923692
"275",136720.658008078
"276",113849.337342233
"277",345383.18732735
"278",245314.400788956
"279",278111.011232659
"280",199244.778958931
"281",181915.901527017
"282",164369.290776591
"283",185072.271974984
"284",292853.088382287
"285",194950.74144613
"286",218337.279793943
"287",226450.483787871
"288",218125.561041126
"289",150476.323951872
"290",136990.064705852
"291",253278.374070566
"292",112740.688640331
"293",146003.746284704
"294",204451.665673056
"295",160299.128792303
"296",125947.454281881
"297",113692.869447872
"298",140885.074845883
"299",170513.266326822
"300",161898.527758001
"301",156929.162435794
"302",162860.403082706
"303",177012.744287239
"304",109734.271065097
"305",165425.731617443
"306",178651.607686552
"307",222616.753715746
"308",133848.488217878
"309",178874.115484377
"310",158895.9070915
"311",115199.53395782
"312",122386.475703677
"313",121876.143236198
"314",135157.298061226
"315",137324.068728083
"316",114492.878044949
"317",105905.144725881
"318",135595.808370573
"319",115740.988216537
"320",187501.435562619
"321",117587.044914303
"322",82343.0576593925
"323",142318.234035425
"324",98952.9860005697
"325",110433.305454135
"326",123252.808194211
"327",170788.730442255
"328",65728.9753693875
"329",106878.2357839
"330",73818.1108017295
"331",202825.955399242
"332",149730.343897267
"333",144117.917678953
"334",170500.273028628
"335",125488.968276781
"336",127211.93242064
"337",124310.066875035
"338",113476.517141412
"339",111065.334858937
"340",118102.145873179
"341",120103.532950987
"342",149032.145972416
"343",151999.404296678
"344",140632.849430542
"345",142719.811607049
"346",136261.91125911
"347",142630.941695019
"348",129448.075945504
"349",114924.97419412
"350",133700.970563541
"351",91772.7284655752
"352",91435.3361272971
"353",122536.558867024
"354",94616.4880827681
"355",64028.3715122134
"356",103760.120000695
"357",99993.2473500808
"358",136505.875170802
"359",131499.249619277
"360",70737.1977014945
"361",113669.67797544
"362",152538.560247587
"363",60097.6230461338
"364",131004.366508084
"365",135273.374192885
"366",97128.5115466666
"367",105376.671749719
"368",126101.625930666
"369",142379.824434782
"370",142043.827571411
"371",169466.503231301
"372",90068.4162684445
"373",140538.751977136
"374",125615.845815664
"375",136324.463075668
"376",120802.851672383
"377",87979.3273408362
"378",133226.361992066
"379",106956.367035466
"380",148933.011966595
"381",129265.473162092
"382",97977.6014803111
"383",131358.782632397
"384",141713.947442058
"385",136206.639842264
"386",143797.100103518
"387",158229.605595215
"388",56791.4214068024
"389",111970.342861764
"390",113284.78073197
"391",143429.074924483
"392",127034.65069563
"393",128652.394338303
"394",175752.522139042
"395",159744.596757296
"396",227893.711619859
"397",139904.387457735
"398",143039.500447191
"399",132459.103186852
"400",155377.250908175
"401",131846.825631547
"402",344821.412624892
"403",342216.65997078
"404",342241.178448793
"405",315193.533107149
"406",320978.701991851
"407",244061.495258205
"408",285843.288232469
"409",210698.473684777
"410",231701.310108444
"411",247720.774720204
"412",175413.432078672
"413",219427.959083495
"414",143290.812574997
"415",199389.922254229
"416",197331.047411547
"417",207161.67334403
"418",199874.410762295
"419",115382.933664476
"420",141057.384779033
"421",240970.886116606
"422",248052.821309055
"423",186088.776024141
"424",196221.7791213
"425",235366.334040883
"426",268722.502663062
"427",213666.554702403
"428",274753.655800403
"429",171279.482180179
"430",119985.128911984
"431",155902.531841813
"432",94963.4371247964
"433",123254.595243105
"434",121020.550416884
"435",131820.228790045
"436",122854.053764949
"437",115439.127520035
"438",124643.655320928
"439",150789.993313719
"440",141918.963577011
"441",148521.852562245
"442",116647.552046226
"443",207587.706625825
"444",128636.675662083
"445",179383.258533598
"446",156554.255545915
"447",190560.005652066
"448",141350.316979596
"449",160507.130598289
"450",147945.733348044
"451",206798.799612193
"452",324374.596614232
"453",147715.901186711
"454",81609.2967335021
"455",248066.068242014
"456",64316.133220626
"457",256694.997409563
"458",147162.612955485
"459",194413.576375206
"460",163409.718245951
"461",357646.015253106
"462",290188.793158984
"463",228308.282084823
"464",234697.379340157
"465",210978.063656994
"466",341705.532529487
"467",127093.149012146
"468",155732.205101434
"469",123318.983618042
"470",136331.671756142
"471",149821.864003194
"472",136898.171073413
"473",159921.091728383
"474",180673.002273012
"475",173199.746739414
"476",175063.878761207
"477",182473.868947211
"478",166287.900692048
"479",234631.400224485
"480",184008.394453514
"481",179395.542304713
"482",179177.181683287
"483",205586.886434748
"484",300863.507599833
"485",324228.478596221
"486",143573.141107969
"487",278167.837451788
"488",168814.866154569
"489",225556.757276054
"490",201208.845138673
"491",254030.78209931
"492",214249.308176463
"493",168936.420512366
"494",209273.711876951
"495",134676.025959554
"496",327457.350779206
"497",160560.785971343
"498",301789.082113431
"499",138836.769933275
"500",102704.237622265
"501",123475.531069865
"502",117905.226995483
"503",126482.606190793
"504",119362.288895126
"505",159323.30534143
"506",155786.466466733
"507",264548.489392984
"508",378766.086790982
"509",330876.744464657
"510",391301.913049838
"511",449541.016471364
"512",349882.494510202
"513",270729.185436545
"514",304620.800688682
"515",451802.076734265
"516",271966.586704108
"517",331677.081462567
"518",322049.553728463
"519",313235.898287852
"520",195499.418990876
"521",312807.339379464
"522",227478.987071638
"523",210771.378493445
"524",179688.625089712
"525",231147.4308518
"526",242244.550925573
"527",184771.932546218
"528",180499.51964134
"529",199749.164504612
"530",216090.061454777
"531",223895.980661521
"532",213420.927248118
"533",184419.753079529
"534",229982.863888091
"535",194272.553865123
"536",245194.661399726
"537",302249.086049412
"538",289291.737754376
"539",268605.708982968
"540",308972.333542835
"541",264447.28405742
"542",247337.838555596
"543",264741.880930563
"544",275686.100432355
"545",222647.197974791
"546",208585.169083754
"547",256584.472568405
"548",196063.10284529
"549",187296.216943679
"550",196238.671735368
"551",142455.902470625
"552",177569.594153549
"553",163037.341627523
"554",174057.291833676
"555",185698.254137569
"556",183954.7042385
"557",188969.52742647
"558",122115.403387472
"559",142930.234313299
"560",114954.626354886
"561",104610.836262249
"562",180795.307679117
"563",138127.001155399
"564",247287.192959367
"565",345815.321498323
"566",173464.851703601
"567",160768.804851035
"568",167882.224203327
"569",171218.647450581
"570",260472.357350775
"571",239977.797143689
"572",244782.887578444
"573",252890.955755475
"574",179388.709780228
"575",215754.393168831
"576",218844.284475487
"577",220809.405032232
"578",313477.228392141
"579",207014.293233772
"580",301842.333534163
"581",298128.959500934
"582",204689.701727182
"583",168140.30690999
"584",179872.785683013
"585",214318.945380211
"586",142921.816913798
"587",138679.994768982
"588",143677.477541145
"589",147551.544535944
"590",174171.96867654
"591",103296.426052075
"592",125149.715521482
"593",140736.591701473
"594",91625.0135118452
"595",144587.831521355
"596",153669.573169762
"597",107119.457237976
"598",207386.207131997
"599",126476.543758977
"600",159653.034765222
"601",177200.516856454
"602",116736.616323304
"603",108684.602548241
"604",130313.279876085
"605",113201.393037931
"606",173001.636889578
"607",130938.335334102
"608",142689.948165459
"609",89064.0334673377
"610",110221.606773999
"611",96756.8177854717
"612",147752.076002101
"613",139961.862250241
"614",188757.683823347
"615",140180.203857602
"616",125262.736574628
"617",132496.005734263
"618",113032.061015971
"619",135860.937718873
"620",127098.851009664
"621",119743.720557334
"622",125113.737166054
"623",134914.362417858
"624",107858.098306382
"625",112419.555933499
"626",152621.061280646
"627",134680.671519654
"628",102101.830101115
"629",85831.127206346
"630",130815.335157759
"631",92828.7916362915
"632",130216.518557804
"633",111718.065817007
"634",122438.165766927
"635",146598.371280532
"636",93069.608154121
"637",100040.396372321
"638",140230.360715187
"639",65038.2338041206
"640",82433.7684921759
"641",116688.737930062
"642",140203.677180912
"643",100926.949211365
"644",133067.143904471
"645",122165.726225211
"646",64861.3825855715
"647",199315.597893847
"648",117213.836757175
"649",108166.902934601
"650",123376.741315591
"651",159964.193560417
"652",121960.330511645
"653",120279.935184387
"654",130592.765939074
"655",150466.497262382
"656",123842.970195109
"657",141371.833623989
"658",114336.499024334
"659",116779.992929287
"660",121127.83834571
"661",100681.794945343
"662",98123.7966936153
"663",104276.296887403
"664",169025.63290718
"665",129311.893818105
"666",138028.73100926
"667",157442.442651307
"668",126751.213037599
"669",110676.175380432
"670",133334.880672825
"671",161312.151941831
"672",118609.06783306
"673",130385.063833066
"674",130230.596453511
"675",114038.378201646
"676",67731.5823891807
"677",115649.381160241
"678",136653.376782823
"679",160284.407228321
"680",139271.258645083
"681",169928.10315606
"682",113913.00491658
"683",139143.86377098
"684",114230.97759307
"685",141642.01939083
"686",166607.280739187
"687",159393.582402449
"688",148728.522317386
"689",150406.714503092
"690",228603.731414177
"691",123045.9910195
"692",148265.494908409
"693",145818.958256017
"694",105564.210176388
"695",149541.949454364
"696",228776.89903931
"697",236061.930554469
"698",225221.98971801
"699",214901.169842719
"700",186234.727667045
"701",256027.480460887
"702",388523.646420774
"703",351094.492113135
"704",251604.145635861
"705",188679.241294095
"706",155227.824445118
"707",209176.848043153
"708",183102.889797331
"709",183872.968300638
"710",207769.778000042
"711",146339.235803824
"712",141087.256589771
"713",164303.2527267
"714",225479.307823613
"715",307167.331728633
"716",283946.865555327
"717",233705.607443274
"718",220390.407882251
"719",144888.053440817
"720",223112.226564996
"721",188567.974786907
"722",223578.052306354
"723",187765.452874614
"724",117748.043347316
"725",128592.70111633
"726",162139.401836774
"727",168576.598820912
"728",166533.355099026
"729",347969.682146689
"730",84040.8334079436
"731",84216.4556551425
"732",88690.6923248493
"733",106025.14649264
"734",120438.149634279
"735",96292.3406517275
"736",104555.101542206
"737",110408.297946584
"738",161753.827952227
"739",196206.141454701
"740",126495.865795055
"741",129392.707324536
"742",199260.087753625
"743",120428.6248863
"744",145277.268488708
"745",101185.058378638
"746",123651.657782689
"747",200443.297601527
"748",261931.581401474
"749",182272.255374178
"750",142466.357581188
"751",131804.563056956
"752",130082.070180664
"753",102900.668468585
"754",132363.836017843
"755",108537.763010132
"756",132218.919399857
"757",71297.8429264086
"758",91148.3167812946
"759",93397.4002213904
"760",86635.7083621265
"761",248754.679300623
"762",224235.981751671
"763",266229.16987545
"764",227138.476383204
"765",132279.887615307
"766",174609.896498721
"767",212941.96641186
"768",260080.798370419
"769",238587.963431047
"770",149288.869453815
"771",202011.835166726
"772",185913.412144162
"773",173970.221403798
"774",241698.77824147
"775",197697.856537817
"776",259980.922900692
"777",309137.820461618
"778",226899.07573718
"779",118151.038851311
"780",161389.572700528
"781",136478.500050574
"782",132275.186784952
"783",143424.483164089
"784",116517.243564126
"785",108671.342021096
"786",133365.832859792
"787",145450.037710445
"788",123415.953117191
"789",122744.870769739
"790",133033.770658005
"791",99752.8736354658
"792",182566.184517042
"793",166426.284781966
"794",178918.333492293
"795",199855.178037741
"796",175603.46354909
"797",207529.099664085
"798",169536.279678521
"799",179079.316844771
"800",160883.697794782
"801",187689.156358124
"802",197353.696001464
"803",330261.148804762
"804",433297.830845189
"805",181117.434323415
"806",264936.860834996
"807",304976.986104997
"808",374345.327700058
"809",161349.263479077
"810",199071.565194559
"811",225622.132001419
"812",218570.255618573
"813",164763.309398171
"814",178631.617156494
"815",162281.842120362
"816",190504.856055525
"817",199979.821816317
"818",159101.368991259
"819",114508.340435085
"820",106442.796861326
"821",171369.665913776
"822",183753.109251001
"823",128093.901844138
"824",127292.120058561
"825",153896.627491022
"826",122165.120557086
"827",318648.091842931
"828",257879.643987007
"829",328514.515288603
"830",387899.405369894
"831",301004.537115248
"832",400631.879055337
"833",418962.716207795
"834",352707.750475203
"835",440532.441224009
"836",259945.922647042
"837",297569.42193255
"838",300770.489455141
"839",342954.44067757
"840",297568.060788335
"841",272999.45591147
"842",240512.193640278
"843",241511.252191071
"844",244015.860803115
"845",184356.267949659
"846",184877.535856808
"847",193278.906329318
"848",224895.273240089
"849",266952.421606311
"850",210326.23591136
"851",210293.500803386
"852",175786.909593299
"853",175846.321743932
"854",175248.997932031
"855",177837.497016139
"856",200817.814304605
"857",183961.881833934
"858",167658.884570118
"859",184056.178657064
"860",189830.655111285
"861",264393.496224688
"862",189906.006958428
"863",185295.688112472
"864",203807.530492069
"865",210802.588660081
"866",189169.965875334
"867",208673.074975319
"868",217870.093728691
"869",193921.708073329
"870",187747.081592251
"871",339707.598264784
"872",371186.42837374
"873",319425.455483242
"874",244262.949469936
"875",256116.466970925
"876",291534.679122108
"877",193306.100385802
"878",269824.751402637
"879",229904.078921027
"880",359065.17733422
"881",222586.575892094
"882",234903.192570822
"883",225978.241177874
"884",221183.091864843
"885",242942.003023259
"886",203826.094136722
"887",185577.550736216
"888",224100.091822046
"889",162369.806180779
"890",278518.618726272
"891",226350.715980935
"892",246476.540788425
"893",239572.679903767
"894",134779.616210045
"895",145814.452152579
"896",151924.422841202
"897",195283.671750819
"898",176902.153576081
"899",143116.572195876
"900",118093.185726459
"901",147738.472946231
"902",241603.57068599
"903",132773.473940399
"904",179318.009700402
"905",229936.912483265
"906",196780.227286791
"907",217182.560756997
"908",203755.978559109
"909",212059.470066914
"910",179128.259421364
"911",157073.361965427
"912",181371.437127752
"913",269595.712079098
"914",289890.601913772
"915",220237.587546314
"916",282016.834871356
"917",318249.439940033
"918",157164.9500972
"919",215809.275708612
"920",153741.428394059
"921",157606.686980677
"922",216230.446118396
"923",209287.154135268
"924",243708.119802735
"925",175770.713993597
"926",130718.752174061
"927",128804.972518361
"928",116407.492964296
"929",123229.137829385
"930",138839.574186928
"931",137253.280696521
"932",113442.68497925
"933",174554.938479178
"934",137378.394693712
"935",197888.916382028
"936",142832.972835229
"937",204366.706981413
"938",123941.593667628
"939",65332.9851782157
"940",72239.7844303912
"941",122662.423453913
"942",123045.644435083
"943",147029.999090909
"944",148865.982860892
"945",153832.176472906
"946",137215.634527476
"947",121156.386345767
"948",143838.190988135
"949",118276.815826861
"950",194116.126253744
"951",110342.857090804
"952",141070.207380366
"953",117657.109208251
"954",145396.544926991
"955",130969.762063877
"956",127243.661918794
"957",130485.165726511
"958",134119.927927737
"959",109268.781619009
"960",122866.807796495
"961",134197.499506723
"962",106138.472116584
"963",103388.437072926
"964",147741.424625654
"965",194560.021047692
"966",129626.922002401
"967",114319.631478688
"968",178744.546056733
"969",115005.664024688
"970",133585.971001565
"971",109214.735260631
"972",134072.44565891
"973",126125.9528147
"974",126760.545986308
"975",142878.93074661
"976",110641.539827626
"977",104718.597181376
"978",121286.224087677
"979",116591.753305948
"980",125640.842940781
"981",104962.536486816
"982",106789.085569899
"983",136623.087513623
"984",128203.778261157
"985",87621.6099632495
"986",127725.379760601
"987",201707.533117766
"988",141065.312139586
"989",113024.545487355
"990",153175.121698217
"991",126134.035157654
"992",189662.543677927
"993",96698.1393801337
"994",127247.978956819
"995",124998.231936811
"996",123669.45807292
"997",122131.842962263
"998",129078.011545484
"999",105522.05533239
"1000",143417.249862353
"1001",128679.156520062
"1002",127744.672722666
"1003",120189.001675256
"1004",167707.540104798
"1005",131076.545823169
"1006",112960.458791443
"1007",160340.921339928
"1008",93482.391737227
"1009",85981.0054464953
"1010",202780.261890112
"1011",219204.944954412
"1012",150115.276876979
"1013",122831.581344001
"1014",78089.8955389558
"1015",239363.725908581
"1016",113256.948402218
"1017",119088.912285973
"1018",154882.692233276
"1019",105580.547202763
"1020",156616.013912855
"1021",114919.439879387
"1022",136951.854275547
"1023",107174.883906301
"1024",125035.706795821
"1025",129051.8327388
"1026",139487.299448549
"1027",175121.540498922
"1028",167770.627294091
"1029",151297.335516779
"1030",146823.792635043
"1031",106489.031024071
"1032",177678.711506717
"1033",154112.144163006
"1034",149229.236883128
"1035",96243.781152922
"1036",235354.384435872
"1037",141192.284717688
"1038",106150.570167162
"1039",97108.4732367195
"1040",127228.452959103
"1041",130569.156265126
"1042",144446.632095881
"1043",98197.8084710803
"1044",179136.15042154
"1045",220817.79838972
"1046",259464.360349955
"1047",289234.393992948
"1048",259729.7339961
"1049",218672.078312762
"1050",229161.696330862
"1051",180667.278110186
"1052",197728.977463539
"1053",212227.381545949
"1054",254921.12773908
"1055",139150.933997898
"1056",177305.045313405
"1057",143460.138295296
"1058",144054.630028979
"1059",210164.405316877
"1060",212425.605756317
"1061",187645.935957802
"1062",222687.901339217
"1063",120322.901549319
"1064",138349.239324763
"1065",152385.921271457
"1066",129434.640780191
"1067",113460.243170773
"1068",125111.697032006
"1069",130494.409948826
"1070",131304.790526475
"1071",237284.999441111
"1072",223953.647311939
"1073",196157.090782665
"1074",227208.615132006
"1075",285323.710562236
"1076",244317.301693239
"1077",223246.546717824
"1078",184413.683388244
"1079",189129.284280497
"1080",177096.224701089
"1081",194322.503410983
"1082",151695.310473036
"1083",124181.787277816
"1084",112978.752757561
"1085",133173.171087087
"1086",137472.993762992
"1087",166062.215233072
"1088",160944.867449252
"1089",159371.251787246
"1090",1168968.62936945
"1091",155483.82128749
"1092",127497.095141463
"1093",76964.522271845
"1094",103961.305657536
"1095",130188.977475844
"1096",94504.6899506451
"1097",109648.336886866
"1098",143563.328960228
"1099",109697.86821072
"1100",142983.687005522
"1101",148111.474873753
"1102",129685.374956569
"1103",137944.72253427
"1104",185781.469608922
"1105",128944.747144107
"1106",126439.312390746
"1107",115714.148610388
"1108",176768.679400789
"1109",191268.839379702
"1110",142293.888679684
"1111",157661.099717929
"1112",173377.922394714
"1113",207762.901296244
"1114",273154.677002211
"1115",133491.329077967
"1116",116720.987175238
"1117",134814.696780644
"1118",98613.8751091708
"1119",65478.3086295838
"1120",106498.846374263
"1121",126473.130687989
"1122",127275.301005316
"1123",247046.564678406
"1124",177527.580322172
"1125",182016.496945918
"1126",203823.5677528
"1127",209739.398108343
"1128",153534.148990036
"1129",159436.002774461
"1130",222085.899739717
"1131",233351.519256503
"1132",206242.983598284
"1133",229239.280279525
"1134",191053.687065326
"1135",196339.229646354
"1136",288778.024406604
"1137",182250.160119744
"1138",274203.962273947
"1139",329727.590091542
"1140",160520.424406979
"1141",148549.415582383
"1142",94802.0056990037
"1143",99521.1656738423
"1144",95493.1408688373
"1145",93261.2164307617
"1146",138602.142344252
"1147",221026.483057194
"1148",211681.713055245
"1149",160656.426530556
"1150",110082.819606504
"1151",113506.449054257
"1152",155754.093309161
"1153",130820.815828166
"1154",122655.476510505
"1155",149739.962671674
"1156",143204.026255214
"1157",173976.258281321
"1158",183891.418758104
"1159",210708.609058097
"1160",188553.786796264
"1161",175462.659455997
"1162",182944.065643648
"1163",236846.948777503
"1164",289159.250352179
"1165",280589.939333116
"1166",174424.902868263
"1167",178434.751194314
"1168",395786.978748012
"1169",433470.664870394
"1170",328764.901810754
"1171",439993.429133289
"1172",358664.096769862
"1173",282829.583039663
"1174",375227.287502119
"1175",165696.515811705
"1176",199026.800488417
"1177",175158.676541992
"1178",241483.772582187
"1179",193794.275424135
"1180",156520.213960272
"1181",103704.384582731
"1182",180402.005252702
"1183",130261.253603295
"1184",143229.925550373
"1185",130590.72287578
"1186",115180.886423019
"1187",124715.956072145
"1188",145684.017046504
"1189",148880.137846652
"1190",158481.765830604
"1191",155479.151898141
"1192",387916.862365479
"1193",248026.631379066
"1194",233085.607820884
"1195",334418.580682423
"1196",308096.975108978
"1197",310461.400610235
"1198",257322.962947676
"1199",287047.22256902
"1200",325536.647531638
"1201",312705.293088018
"1202",316483.924452495
"1203",297392.671783052
"1204",262084.129886963
"1205",301323.727971965
"1206",270726.734288993
"1207",178348.178137078
"1208",187958.340766658
"1209",170842.622338502
"1210",277157.610138423
"1211",189232.795836104
"1212",206275.166987191
"1213",209268.557255466
"1214",221721.054340016
"1215",174451.158886169
"1216",198363.809447346
"1217",198214.055043847
"1218",252262.928107572
"1219",269984.044120921
"1220",276866.394718647
"1221",368026.009623168
"1222",299253.37111395
"1223",469159.800730452
"1224",301730.892412038
"1225",321185.086778677
"1226",245480.424790672
"1227",285141.343444332
"1228",218120.869424736
"1229",195555.4675781
"1230",419696.977153204
"1231",175483.484204936
"1232",132733.499479413
"1233",191577.66404966
"1234",136584.739664332
"1235",196544.470679332
"1236",187695.372771052
"1237",178350.367821459
"1238",185175.472116014
"1239",171467.16736753
"1240",153074.490019584
"1241",154228.164923757
"1242",119656.198459004
"1243",156957.405401046
"1244",145486.680875832
"1245",109722.565990675
"1246",113060.550515258
"1247",128684.784848113
"1248",119902.796267289
"1249",105455.501997432
"1250",123140.635187176
"1251",307039.61853619
"1252",357850.890647969
"1253",176362.488526639
"1254",159843.364849901
"1255",155489.901779793
"1256",157290.270830021
"1257",176197.774589254
"1258",220349.639168255
"1259",152946.293985022
"1260",183980.847430247
"1261",131782.798400555
"1262",147660.707879996
"1263",163239.315513513
"1264",124061.476713708
"1265",122671.853263008
"1266",137642.323873513
"1267",199269.587447059
"1268",179470.4015526
"1269",141791.796242666
"1270",135762.371806919
"1271",132147.462109318
"1272",119112.449069876
"1273",164272.808337002
"1274",141430.302166411
"1275",121739.16709028
"1276",136758.207023204
"1277",110823.540928111
"1278",136213.245487508
"1279",165371.577496022
"1280",139067.223675768
"1281",127472.406202261
"1282",159986.192008596
"1283",139466.685548427
"1284",149537.896180375
"1285",152217.244014167
"1286",120918.999043689
"1287",150211.276405052
"1288",129660.576207738
"1289",114318.535899892
"1290",125717.242925287
"1291",116613.02872121
"1292",236251.094084759
"1293",145031.441607185
"1294",237281.966131962
"1295",135733.463284528
"1296",93462.3789092602
"1297",74736.9343238508
"1298",90225.5118250928
"1299",152495.088034853
"1300",111108.469846395
"1301",137334.424606343
"1302",133973.430436069
"1303",210191.990999952
"1304",159158.319499299
"1305",314896.566104162
"1306",114450.791655894
"1307",83157.7430590612
"1308",112301.510804652
"1309",109795.393322824
"1310",159954.160827195
"1311",110399.480407155
"1312",109924.605479027
"1313",150030.343058422
"1314",129219.698523151
"1315",118597.985183521
"1316",143526.986812179
"1317",152815.206055444
"1318",133577.581641283
"1319",109025.019223241
"1320",105972.2408131
"1321",101224.208446203
"1322",90762.6118595986
"1323",80863.4369075549
"1324",131015.173403224
"1325",128149.197595635
"1326",72052.8404809814
"1327",126749.354657672
"1328",73551.8796731815
"1329",175916.311093206
"1330",94512.8170900398
"1331",114047.602664247
"1332",66870.1104468993
"1333",152732.152560387
"1334",87817.0709156758
"1335",115617.572551565
"1336",91945.1407346774
"1337",199801.362301546
"1338",107704.287038856
"1339",117478.483616309
"1340",78119.1168075966
"1341",114107.798663725
"1342",127229.780476708
"1343",160468.171993866
"1344",137123.934436088
"1345",112729.436149954
"1346",84751.4886222496
"1347",162431.686644376
"1348",142736.423549063
"1349",128133.871968755
"1350",126678.587076964
"1351",161151.431005721
"1352",164822.46001859
"1353",157481.291678075
"1354",156295.46079286
"1355",99569.991105201
